date,country,country_code,country_grade,country_grade_letter,short_term_risk_level,short_term_risk_value
2024-04-01,Vietnam,VNM,C,C,2 (Medium),2.0
2024-04-01,Yemen,YEM,D,D,4 (High),4.0
2024-04-01,Zambia,ZMB,D,D,4 (High),4.0
2024-04-01,Zimbabwe,ZWE,D,D,4 (High),4.0
2024-07-01,Afghanistan,AFG,D,D,4 (High),4.0
2024-07-01,Albania,ALB,B,B,2 (Medium),2.0
2024-07-01,Algeria,DZA,C,C,2 (Medium),2.0
2024-07-01,American Samoa,ASM,A,A,1 (Low),1.0
2024-07-01,Andorra,AND,AA,AA,1 (Low),1.0
2024-07-01,Angola,AGO,D,D,3 (Sensitive),3.0
2024-07-01,Anguilla,AIA,BB,BB,1 (Low),1.0
2024-07-01,Antarctica,ATA,AA,AA,1 (Low),1.0
2024-07-01,Argentina,ARG,D,D,4 (High),4.0
2024-07-01,Armenia,ARM,D,D,3 (Sensitive),3.0
2024-07-01,Aruba,ABW,BB1,BB1,1 (Low),1.0
2024-07-01,Australia,AUS,AA,AA,1 (Low),1.0
2024-07-01,Austria,AUT,AA,AA,1 (Low),1.0
2024-07-01,Azerbaijan,AZE,C,C,3 (Sensitive),3.0
2024-07-01,Bahamas,BHS,B,B,3 (Sensitive),3.0
2024-07-01,Bahrain,BHR,C,C,4 (High),4.0
2024-07-01,Bangladesh,BGD,D,D,3 (Sensitive),3.0
2024-07-01,Barbados,BRB,D,D,3 (Sensitive),3.0
2024-07-01,Belarus,BLR,D,D,4 (High),4.0
2024-07-01,Belgium,BEL,AA,AA,1 (Low),1.0
2024-07-01,Belize,BLZ,D,D,3 (Sensitive),3.0
2024-07-01,Benin,BEN,C,C,3 (Sensitive),3.0
2024-07-01,Bermuda,BMU,A,A,1 (Low),1.0
2024-07-01,Bhutan,BTN,D,D,4 (High),4.0
2024-07-01,Bolivia,BOL,D,D,4 (High),4.0
2024-07-01,Bosnia and Herzegovina,BIH,D,D,3 (Sensitive),3.0
2024-07-01,Botswana,BWA,BB,BB,1 (Low),1.0
2024-07-01,Bouvet Island,BVT,AA,AA,1 (Low),1.0
2024-07-01,Brazil,BRA,B,B,2 (Medium),2.0
2024-07-01,British Indian Ocean Territory,IOT,AA,AA,1 (Low),1.0
2024-07-01,British Virgin Islands,VGB,A,A,1 (Low),1.0
2024-07-01,Bulgaria,BGR,BB,BB,2 (Medium),2.0
2024-07-01,Burkina Faso,BFA,D,D,4 (High),4.0
2024-07-01,Burundi,BDI,D,D,4 (High),4.0
2024-07-01,Cambodia,KHM,C,C,2 (Medium),2.0
2024-07-01,Cameroon,CMR,C,C,3 (Sensitive),3.0
2024-07-01,Canada,CAN,AA,AA,1 (Low),1.0
2024-07-01,Cayman Islands,CYM,A,A,1 (Low),1.0
2024-07-01,Central African Republic,CAF,D,D,4 (High),4.0
2024-07-01,Chad,TCD,D,D,4 (High),4.0
2024-07-01,Chile,CHL,BB,BB,2 (Medium),2.0
2024-07-01,China,CHN,B,B,1 (Low),1.0
2024-07-01,Christmas Island,CXR,A,A,1 (Low),1.0
2024-07-01,Cocos (Keeling) Islands,CCK,A,A,1 (Low),1.0
2024-07-01,Colombia,COL,B,B,2 (Medium),2.0
2024-07-01,Comoros,COM,D,D,4 (High),4.0
2024-07-01,Cook Islands,COK,C,C,3 (Sensitive),3.0
2024-07-01,Costa Rica,CRI,BB,BB,2 (Medium),2.0
2024-07-01,Croatia,HRV,BB,BB,1 (Low),1.0
2024-07-01,Cuba,CUB,D,D,4 (High),4.0
2024-07-01,Cyprus,CYP,BB,BB,2 (Medium),2.0
2024-07-01,Czech Republic,CZE,BB,BB,2 (Medium),2.0
2024-07-01,C̫te d'Ivoire,CIV,C,C,2 (Medium),2.0
2024-07-01,Denmark,DNK,AA,AA,1 (Low),1.0
2024-07-01,Djibouti,DJI,C,C,2 (Medium),2.0
2024-07-01,Dominica,DMA,C,C,3 (Sensitive),3.0
2024-07-01,Dominican Republic,DOM,B,B,2 (Medium),2.0
2024-07-01,Ecuador,ECU,C,C,4 (High),4.0
2024-07-01,Egypt,EGY,D,D,3 (Sensitive),3.0
2024-07-01,El Salvador,SLV,C,C,3 (Sensitive),3.0
2024-07-01,Equatorial Guinea,GNQ,D,D,4 (High),4.0
2024-07-01,Eritrea,ERI,D,D,4 (High),4.0
2024-07-01,Estonia,EST,A,A,2 (Medium),2.0
2024-07-01,Eswatini,SWZ,C,C,4 (High),4.0
2024-07-01,Ethiopia,ETH,D,D,4 (High),4.0
2024-07-01,Faroe Islands,FRO,A,A,1 (Low),1.0
2024-07-01,Fiji,FJI,D,D,3 (Sensitive),3.0
2024-07-01,Finland,FIN,AA,AA,1 (Low),1.0
2024-07-01,France,FRA,AA,AA,1 (Low),1.0
2024-07-01,French Guiana,GUF,AA,AA,1 (Low),1.0
2024-07-01,French Polynesia,PYF,BB,BB,1 (Low),1.0
2024-07-01,Gabon,GAB,D,D,3 (Sensitive),3.0
2024-07-01,Gambia,GMB,D,D,3 (Sensitive),3.0
2024-07-01,Georgia,GEO,D,D,4 (High),4.0
2024-07-01,Germany,DEU,AA,AA,1 (Low),1.0
2024-07-01,Ghana,GHA,C,C,4 (High),4.0
2024-07-01,Gibraltar,GIB,A,A,1 (Low),1.0
2024-07-01,Greece,GRC,BB,BB,2 (Medium),2.0
2024-07-01,Greenland,GRL,A,A,1 (Low),1.0
2024-07-01,Grenada,GRD,C,C,3 (Sensitive),3.0
2024-07-01,Guadeloupe,GLP,AA,AA,1 (Low),1.0
2024-07-01,Guam,GUM,A,A,1 (Low),1.0
2024-07-01,Guatemala,GTM,B,B,2 (Medium),2.0
2024-07-01,Guyana,GUY,C,C,3 (Sensitive),3.0
2024-07-01,Haiti,HTI,D,D,4 (High),4.0
2024-07-01,Honduras,HND,C,C,3 (Sensitive),3.0
2024-07-01,Hong Kong,HKG,BB,BB,1 (Low),1.0
2024-07-01,Hungary,HUN,B,B,3 (Sensitive),3.0
2024-07-01,Iceland,ISL,BB,BB,2 (Medium),2.0
2024-07-01,India,IND,B,B,1 (Low),1.0
2024-07-01,Indonesia,IDN,B,B,1 (Low),1.0
2024-07-01,Iraq,IRQ,D,D,4 (High),4.0
2024-07-01,Ireland,IRL,AA,AA,1 (Low),1.0
2024-07-01,Israel,ISR,B,B,2 (Medium),2.0
2024-07-01,Italy,ITA,A,A,2 (Medium),2.0
2024-07-01,Jamaica,JAM,C,C,2 (Medium),2.0
2024-07-01,Japan,JPN,A,A,1 (Low),1.0
2024-07-01,Jordan,JOR,C,C,3 (Sensitive),3.0
2024-07-01,Kazakhstan,KAZ,C,C,3 (Sensitive),3.0
2024-07-01,Kenya,KEN,C,C,3 (Sensitive),3.0
2024-07-01,Kiribati,KIR,D,D,3 (Sensitive),3.0
2024-07-01,Kuwait,KWT,B,B,2 (Medium),2.0
2024-07-01,Kyrgyzstan,KGZ,D,D,4 (High),4.0
2024-07-01,Latvia,LVA,A,A,2 (Medium),2.0
2024-07-01,Lebanon,LBN,D,D,4 (High),4.0
2024-07-01,Lesotho,LSO,C,C,3 (Sensitive),3.0
2024-07-01,Liberia,LBR,D,D,4 (High),4.0
2024-07-01,Libya,LBY,D,D,4 (High),4.0
2024-07-01,Liechtenstein,LIE,AA,AA,1 (Low),1.0
2024-07-01,Lithuania,LTU,A,A,2 (Medium),2.0
2024-07-01,Luxembourg,LUX,AA,AA,1 (Low),1.0
2024-07-01,Macao,MAC,BB,BB,2 (Medium),2.0
2024-07-01,Madagascar,MDG,C,C,3 (Sensitive),3.0
2024-07-01,Malawi,MWI,D,D,4 (High),4.0
2024-07-01,Malaysia,MYS,BB,BB,1 (Low),1.0
2024-07-01,Maldives,MDV,C,C,3 (Sensitive),3.0
2024-07-01,Mali,MLI,D,D,4 (High),4.0
2024-07-01,Malta,MLT,A,A,1 (Low),1.0
2024-07-01,Marshall Islands,MHL,D,D,4 (High),4.0
2024-07-01,Martinique,MTQ,AA,AA,1 (Low),1.0
2024-07-01,Mauritania,MRT,D,D,3 (Sensitive),3.0
2024-07-01,Mauritius,MUS,B,B,3 (Sensitive),3.0
2024-07-01,Mayotte,MYT,AA,AA,1 (Low),1.0
2024-07-01,Mexico,MEX,BB,BB,2 (Medium),2.0
2024-07-01,Moldova,MDA,D,D,4 (High),4.0
2024-07-01,Monaco,MCO,AA,AA,1 (Low),1.0
2024-07-01,Mongolia,MNG,D,D,3 (Sensitive),3.0
2024-07-01,Montenegro,MNE,D,D,4 (High),4.0
2024-07-01,Montserrat,MSR,BB,BB,1 (Low),1.0
2024-07-01,Morocco,MAR,B,B,2 (Medium),2.0
2024-07-01,Mozambique,MOZ,D,D,4 (High),4.0
2024-07-01,Namibia,NAM,C,C,3 (Sensitive),3.0
2024-07-01,Nauru,NRU,D,D,4 (High),4.0
2024-07-01,Nepal,NPL,D,D,4 (High),4.0
2024-07-01,Netherlands,NLD,AA,AA,1 (Low),1.0
2024-07-01,New Caledonia,NCL,A,A,1 (Low),1.0
2024-07-01,New Zealand,NZL,AA,AA,1 (Low),1.0
2024-07-01,Nicaragua,NIC,C,C,3 (Sensitive),3.0
2024-07-01,Niger,NER,D,D,4 (High),4.0
2024-07-01,Nigeria,NGA,D,D,3 (Sensitive),3.0
2024-07-01,Niue,NIU,B,B,2 (Medium),2.0
2024-07-01,Norfolk Island,NFK,A,A,1 (Low),1.0
2024-07-01,North Macedonia,MKD,C,C,2 (Medium),2.0
2024-07-01,Northern Mariana Islands,MNP,A,A,1 (Low),1.0
2024-07-01,Norway,NOR,AA,AA,1 (Low),1.0
2024-07-01,Oman,OMN,B,B,1 (Low),1.0
2024-07-01,Pakistan,PAK,D,D,4 (High),4.0
2024-07-01,Palau,PLW,C,C,3 (Sensitive),3.0
2024-07-01,Panama,PAN,BB,BB,2 (Medium),2.0
2024-07-01,Papua New Guinea,PNG,D,D,4 (High),4.0
2024-07-01,Paraguay,PRY,B,B,2 (Medium),2.0
2024-07-01,Peru,PER,B,B,2 (Medium),2.0
2024-07-01,Philippines,PHL,B,B,1 (Low),1.0
2024-07-01,Poland,POL,BB,BB,2 (Medium),2.0
2024-07-01,Portugal,PRT,A,A,1 (Low),1.0
2024-07-01,Puerto Rico,PRI,BB,BB,3 (Sensitive),3.0
2024-07-01,Qatar,QAT,BB,BB,1 (Low),1.0
2024-07-01,Romania,ROU,B,B,3 (Sensitive),3.0
2024-07-01,Rwanda,RWA,C,C,2 (Medium),2.0
2024-07-01,Samoa,WSM,C,C,3 (Sensitive),3.0
2024-07-01,San Marino,SMR,A,A,2 (Medium),2.0
2024-07-01,Saudi Arabia,SAU,B,B,1 (Low),1.0
2024-07-01,Senegal,SEN,C,C,2 (Medium),2.0
2024-07-01,Serbia,SRB,B,B,2 (Medium),2.0
2024-07-01,Seychelles,SYC,C,C,2 (Medium),2.0
2024-07-01,Sierra Leone,SLE,D,D,4 (High),4.0
2024-07-01,Singapore,SGP,AA,AA,1 (Low),1.0
2024-07-01,Slovakia,SVK,A,A,1 (Low),1.0
2024-07-01,Slovenia,SVN,A,A,1 (Low),1.0
2024-07-01,Solomon Islands,SLB,D,D,4 (High),4.0
2024-07-01,Somalia,SOM,D,D,4 (High),4.0
2024-07-01,South Africa,ZAF,B,B,3 (Sensitive),3.0
2024-07-01,South Sudan,SSD,D,D,4 (High),4.0
2024-07-01,Spain,ESP,A,A,1 (Low),1.0
2024-07-01,Sri Lanka,LKA,D,D,4 (High),4.0
2024-07-01,Sudan,SDN,D,D,4 (High),4.0
2024-07-01,Suriname,SUR,D,D,3 (Sensitive),3.0
2024-07-01,Sweden,SWE,AA,AA,1 (Low),1.0
2024-07-01,Switzerland,CHE,AA,AA,1 (Low),1.0
2024-07-01,Taiwan,TWN,A,A,1 (Low),1.0
2024-07-01,Tajikistan,TJK,D,D,4 (High),4.0
2024-07-01,Tanzania,TZA,C,C,2 (Medium),2.0
2024-07-01,Thailand,THA,B,B,1 (Low),1.0
2024-07-01,Togo,TGO,C,C,3 (Sensitive),3.0
2024-07-01,Tokelau,TKL,A,A,1 (Low),1.0
2024-07-01,Tonga,TON,D,D,4 (High),4.0
2024-07-01,Tunisia,TUN,D,D,4 (High),4.0
2024-07-01,Turkmenistan,TKM,D,D,4 (High),4.0
2024-07-01,Tuvalu,TUV,C,C,3 (Sensitive),3.0
2024-07-01,Uganda,UGA,C,C,3 (Sensitive),3.0
2024-07-01,Ukraine,UKR,D,D,4 (High),4.0
2024-07-01,United Arab Emirates,ARE,BB,BB,1 (Low),1.0
2024-07-01,United Kingdom,GBR,AA,AA,1 (Low),1.0
2024-07-01,United States,USA,AA,AA,1 (Low),1.0
2024-07-01,Uruguay,URY,BB,BB,1 (Low),1.0
2024-07-01,Uzbekistan,UZB,D,D,4 (High),4.0
2024-07-01,Vanuatu,VUT,C,C,3 (Sensitive),3.0
2024-07-01,Venezuela,VEN,D,D,4 (High),4.0
2024-07-01,Vietnam,VNM,C,C,2 (Medium),2.0
2024-07-01,Yemen,YEM,D,D,4 (High),4.0
2024-07-01,Zambia,ZMB,D,D,4 (High),4.0
2024-07-01,Zimbabwe,ZWE,D,D,4 (High),4.0
2024-10-01,Afghanistan,AFG,D,D,4 (High),4.0
2024-10-01,Albania,ALB,B,B,2 (Medium),2.0
2024-10-01,Algeria,DZA,C,C,2 (Medium),2.0
2024-10-01,American Samoa,ASM,A,A,1 (Low),1.0
2024-10-01,Andorra,AND,AA,AA,1 (Low),1.0
2024-10-01,Angola,AGO,D,D,3 (Sensitive),3.0
2024-10-01,Anguilla,AIA,BB,BB,1 (Low),1.0
2024-10-01,Antarctica,ATA,AA,AA,1 (Low),1.0
2024-10-01,Argentina,ARG,D,D,4 (High),4.0
2024-10-01,Armenia,ARM,D,D,3 (Sensitive),3.0
2024-10-01,Aruba,ABW,BB1,BB1,1 (Low),1.0
2024-10-01,Australia,AUS,AA,AA,1 (Low),1.0
2024-10-01,Austria,AUT,AA,AA,1 (Low),1.0
2024-10-01,Azerbaijan,AZE,C,C,3 (Sensitive),3.0
2024-10-01,Bahamas,BHS,B,B,3 (Sensitive),3.0
2024-10-01,Bahrain,BHR,C,C,4 (High),4.0
2024-10-01,Bangladesh,BGD,D,D,3 (Sensitive),3.0
2024-10-01,Barbados,BRB,D,D,3 (Sensitive),3.0
2024-10-01,Belarus,BLR,D,D,4 (High),4.0
2024-10-01,Belgium,BEL,AA,AA,1 (Low),1.0
2024-10-01,Belize,BLZ,D,D,3 (Sensitive),3.0
2024-10-01,Benin,BEN,C,C,3 (Sensitive),3.0
2024-10-01,Bermuda,BMU,A,A,1 (Low),1.0
2024-10-01,Bhutan,BTN,D,D,4 (High),4.0
2024-10-01,Bolivia,BOL,D,D,4 (High),4.0
2024-10-01,Bosnia and Herzegovina,BIH,D,D,3 (Sensitive),3.0
2024-10-01,Botswana,BWA,BB,BB,1 (Low),1.0
2024-10-01,Bouvet Island,BVT,AA,AA,1 (Low),1.0
2024-10-01,Brazil,BRA,B,B,2 (Medium),2.0
2024-10-01,British Indian Ocean Territory,IOT,AA,AA,1 (Low),1.0
2024-10-01,British Virgin Islands,VGB,A,A,1 (Low),1.0
2024-10-01,Bulgaria,BGR,BB,BB,2 (Medium),2.0
2024-10-01,Burkina Faso,BFA,D,D,4 (High),4.0
2024-10-01,Burundi,BDI,D,D,4 (High),4.0
2024-10-01,Cambodia,KHM,C,C,2 (Medium),2.0
2024-10-01,Cameroon,CMR,C,C,3 (Sensitive),3.0
2024-10-01,Canada,CAN,AA,AA,1 (Low),1.0
2024-10-01,Cayman Islands,CYM,A,A,1 (Low),1.0
2024-10-01,Central African Republic,CAF,D,D,4 (High),4.0
2024-10-01,Chad,TCD,D,D,4 (High),4.0
2024-10-01,Chile,CHL,BB,BB,2 (Medium),2.0
2024-10-01,China,CHN,B,B,1 (Low),1.0
2024-10-01,Christmas Island,CXR,A,A,1 (Low),1.0
2024-10-01,Cocos (Keeling) Islands,CCK,A,A,1 (Low),1.0
2024-10-01,Colombia,COL,B,B,2 (Medium),2.0
2024-10-01,Comoros,COM,D,D,4 (High),4.0
2024-10-01,Cook Islands,COK,C,C,3 (Sensitive),3.0
2024-10-01,Costa Rica,CRI,BB,BB,2 (Medium),2.0
2024-10-01,Croatia,HRV,BB,BB,1 (Low),1.0
2024-10-01,Cuba,CUB,D,D,4 (High),4.0
2024-10-01,Cyprus,CYP,BB,BB,2 (Medium),2.0
2024-10-01,Czech Republic,CZE,BB,BB,2 (Medium),2.0
2024-10-01,C̫te d'Ivoire,CIV,C,C,2 (Medium),2.0
2024-10-01,Denmark,DNK,AA,AA,1 (Low),1.0
2024-10-01,Djibouti,DJI,C,C,2 (Medium),2.0
2024-10-01,Dominica,DMA,C,C,3 (Sensitive),3.0
2024-10-01,Dominican Republic,DOM,B,B,2 (Medium),2.0
2024-10-01,Ecuador,ECU,C,C,4 (High),4.0
2024-10-01,Egypt,EGY,D,D,3 (Sensitive),3.0
2024-10-01,El Salvador,SLV,C,C,3 (Sensitive),3.0
2024-10-01,Equatorial Guinea,GNQ,D,D,4 (High),4.0
2024-10-01,Eritrea,ERI,D,D,4 (High),4.0
2024-10-01,Estonia,EST,A,A,2 (Medium),2.0
2024-10-01,Eswatini,SWZ,C,C,4 (High),4.0
2024-10-01,Ethiopia,ETH,D,D,4 (High),4.0
2024-10-01,Faroe Islands,FRO,A,A,1 (Low),1.0
2024-10-01,Fiji,FJI,D,D,3 (Sensitive),3.0
2024-10-01,Finland,FIN,AA,AA,1 (Low),1.0
2024-10-01,France,FRA,AA,AA,1 (Low),1.0
2024-10-01,French Guiana,GUF,AA,AA,1 (Low),1.0
2024-10-01,French Polynesia,PYF,BB,BB,1 (Low),1.0
2024-10-01,Gabon,GAB,D,D,3 (Sensitive),3.0
2024-10-01,Gambia,GMB,D,D,3 (Sensitive),3.0
2024-10-01,Georgia,GEO,D,D,4 (High),4.0
2024-10-01,Germany,DEU,AA,AA,1 (Low),1.0
2024-10-01,Ghana,GHA,C,C,4 (High),4.0
2024-10-01,Gibraltar,GIB,A,A,1 (Low),1.0
2024-10-01,Greece,GRC,BB,BB,2 (Medium),2.0
2024-10-01,Greenland,GRL,A,A,1 (Low),1.0
2024-10-01,Grenada,GRD,C,C,3 (Sensitive),3.0
2024-10-01,Guadeloupe,GLP,AA,AA,1 (Low),1.0
2024-10-01,Guam,GUM,A,A,1 (Low),1.0
2024-10-01,Guatemala,GTM,B,B,2 (Medium),2.0
2024-10-01,Guyana,GUY,C,C,3 (Sensitive),3.0
2024-10-01,Haiti,HTI,D,D,4 (High),4.0
2024-10-01,Honduras,HND,C,C,3 (Sensitive),3.0
2024-10-01,Hong Kong,HKG,BB,BB,1 (Low),1.0
2024-10-01,Hungary,HUN,B,B,3 (Sensitive),3.0
2024-10-01,Iceland,ISL,BB,BB,2 (Medium),2.0
2024-10-01,India,IND,B,B,1 (Low),1.0
2024-10-01,Indonesia,IDN,B,B,1 (Low),1.0
2024-10-01,Iraq,IRQ,D,D,4 (High),4.0
2024-10-01,Ireland,IRL,AA,AA,1 (Low),1.0
2024-10-01,Israel,ISR,B,B,2 (Medium),2.0
2024-10-01,Italy,ITA,A,A,2 (Medium),2.0
2024-10-01,Jamaica,JAM,C,C,2 (Medium),2.0
2024-10-01,Japan,JPN,A,A,1 (Low),1.0
2024-10-01,Jordan,JOR,C,C,3 (Sensitive),3.0
2024-10-01,Kazakhstan,KAZ,C,C,3 (Sensitive),3.0
2024-10-01,Kenya,KEN,C,C,3 (Sensitive),3.0
2024-10-01,Kiribati,KIR,D,D,3 (Sensitive),3.0
2024-10-01,Kuwait,KWT,B,B,2 (Medium),2.0
2024-10-01,Kyrgyzstan,KGZ,D,D,4 (High),4.0
2024-10-01,Latvia,LVA,A,A,2 (Medium),2.0
2024-10-01,Lebanon,LBN,D,D,4 (High),4.0
2024-10-01,Lesotho,LSO,C,C,3 (Sensitive),3.0
2024-10-01,Liberia,LBR,D,D,4 (High),4.0
2024-10-01,Libya,LBY,D,D,4 (High),4.0
2024-10-01,Liechtenstein,LIE,AA,AA,1 (Low),1.0
2024-10-01,Lithuania,LTU,A,A,2 (Medium),2.0
2024-10-01,Luxembourg,LUX,AA,AA,1 (Low),1.0
2024-10-01,Macao,MAC,BB,BB,2 (Medium),2.0
2024-10-01,Madagascar,MDG,C,C,3 (Sensitive),3.0
2024-10-01,Malawi,MWI,D,D,4 (High),4.0
2024-10-01,Malaysia,MYS,BB,BB,1 (Low),1.0
2024-10-01,Maldives,MDV,C,C,3 (Sensitive),3.0
2024-10-01,Mali,MLI,D,D,4 (High),4.0
2024-10-01,Malta,MLT,A,A,1 (Low),1.0
2024-10-01,Marshall Islands,MHL,D,D,4 (High),4.0
2024-10-01,Martinique,MTQ,AA,AA,1 (Low),1.0
2024-10-01,Mauritania,MRT,D,D,3 (Sensitive),3.0
2024-10-01,Mauritius,MUS,B,B,3 (Sensitive),3.0
2024-10-01,Mayotte,MYT,AA,AA,1 (Low),1.0
2024-10-01,Mexico,MEX,BB,BB,2 (Medium),2.0
2024-10-01,Moldova,MDA,D,D,4 (High),4.0
2024-10-01,Monaco,MCO,AA,AA,1 (Low),1.0
2024-10-01,Mongolia,MNG,D,D,3 (Sensitive),3.0
2024-10-01,Montenegro,MNE,D,D,4 (High),4.0
2024-10-01,Montserrat,MSR,BB,BB,1 (Low),1.0
2024-10-01,Morocco,MAR,B,B,2 (Medium),2.0
2024-10-01,Mozambique,MOZ,D,D,4 (High),4.0
2024-10-01,Namibia,NAM,C,C,3 (Sensitive),3.0
2024-10-01,Nauru,NRU,D,D,4 (High),4.0
2024-10-01,Nepal,NPL,D,D,4 (High),4.0
2024-10-01,Netherlands,NLD,AA,AA,1 (Low),1.0
2024-10-01,New Caledonia,NCL,A,A,1 (Low),1.0
2024-10-01,New Zealand,NZL,AA,AA,1 (Low),1.0
2024-10-01,Nicaragua,NIC,C,C,3 (Sensitive),3.0
2024-10-01,Niger,NER,D,D,4 (High),4.0
2024-10-01,Nigeria,NGA,D,D,3 (Sensitive),3.0
2024-10-01,Niue,NIU,B,B,2 (Medium),2.0
2024-10-01,Norfolk Island,NFK,A,A,1 (Low),1.0
2024-10-01,North Macedonia,MKD,C,C,2 (Medium),2.0
2024-10-01,Northern Mariana Islands,MNP,A,A,1 (Low),1.0
2024-10-01,Norway,NOR,AA,AA,1 (Low),1.0
2024-10-01,Oman,OMN,B,B,1 (Low),1.0
2024-10-01,Pakistan,PAK,D,D,4 (High),4.0
2024-10-01,Palau,PLW,C,C,3 (Sensitive),3.0
2024-10-01,Panama,PAN,BB,BB,2 (Medium),2.0
2024-10-01,Papua New Guinea,PNG,D,D,4 (High),4.0
2024-10-01,Paraguay,PRY,B,B,2 (Medium),2.0
2024-10-01,Peru,PER,B,B,2 (Medium),2.0
2024-10-01,Philippines,PHL,B,B,1 (Low),1.0
2024-10-01,Poland,POL,BB,BB,2 (Medium),2.0
2024-10-01,Portugal,PRT,A,A,1 (Low),1.0
2024-10-01,Puerto Rico,PRI,BB,BB,3 (Sensitive),3.0
2024-10-01,Qatar,QAT,BB,BB,1 (Low),1.0
2024-10-01,Romania,ROU,B,B,3 (Sensitive),3.0
2024-10-01,Rwanda,RWA,C,C,2 (Medium),2.0
2024-10-01,Samoa,WSM,C,C,3 (Sensitive),3.0
2024-10-01,San Marino,SMR,A,A,2 (Medium),2.0
2024-10-01,Saudi Arabia,SAU,B,B,1 (Low),1.0
2024-10-01,Senegal,SEN,C,C,2 (Medium),2.0
2024-10-01,Serbia,SRB,B,B,2 (Medium),2.0
2024-10-01,Seychelles,SYC,C,C,2 (Medium),2.0
2024-10-01,Sierra Leone,SLE,D,D,4 (High),4.0
2024-10-01,Singapore,SGP,AA,AA,1 (Low),1.0
2024-10-01,Slovakia,SVK,A,A,1 (Low),1.0
2024-10-01,Slovenia,SVN,A,A,1 (Low),1.0
2024-10-01,Solomon Islands,SLB,D,D,4 (High),4.0
2024-10-01,Somalia,SOM,D,D,4 (High),4.0
2024-10-01,South Africa,ZAF,B,B,3 (Sensitive),3.0
2024-10-01,South Sudan,SSD,D,D,4 (High),4.0
2024-10-01,Spain,ESP,A,A,1 (Low),1.0
2024-10-01,Sri Lanka,LKA,D,D,4 (High),4.0
2024-10-01,Sudan,SDN,D,D,4 (High),4.0
2024-10-01,Suriname,SUR,D,D,3 (Sensitive),3.0
2024-10-01,Sweden,SWE,AA,AA,1 (Low),1.0
2024-10-01,Switzerland,CHE,AA,AA,1 (Low),1.0
2024-10-01,Taiwan,TWN,A,A,1 (Low),1.0
2024-10-01,Tajikistan,TJK,D,D,4 (High),4.0
2024-10-01,Tanzania,TZA,C,C,2 (Medium),2.0
2024-10-01,Thailand,THA,B,B,1 (Low),1.0
2024-10-01,Togo,TGO,C,C,3 (Sensitive),3.0
2024-10-01,Tokelau,TKL,A,A,1 (Low),1.0
2024-10-01,Tonga,TON,D,D,4 (High),4.0
2024-10-01,Tunisia,TUN,D,D,4 (High),4.0
2024-10-01,Turkmenistan,TKM,D,D,4 (High),4.0
2024-10-01,Tuvalu,TUV,C,C,3 (Sensitive),3.0
2024-10-01,Uganda,UGA,C,C,3 (Sensitive),3.0
2024-10-01,Ukraine,UKR,D,D,4 (High),4.0
2024-10-01,United Arab Emirates,ARE,BB,BB,1 (Low),1.0
2024-10-01,United Kingdom,GBR,AA,AA,1 (Low),1.0
2024-10-01,United States,USA,AA,AA,1 (Low),1.0
2024-10-01,Uruguay,URY,BB,BB,1 (Low),1.0
2024-10-01,Uzbekistan,UZB,D,D,4 (High),4.0
2024-10-01,Vanuatu,VUT,C,C,3 (Sensitive),3.0
2024-10-01,Venezuela,VEN,D,D,4 (High),4.0
2024-10-01,Vietnam,VNM,C,C,2 (Medium),2.0
2024-10-01,Yemen,YEM,D,D,4 (High),4.0
